x	y	z
64.6509	-40.9517	0
64.6509	-40.931	0.7225
64.6509	-40.8693	1.4432
64.6509	-40.7669	2.1606
64.6509	-40.6244	2.8728
64.6509	-40.4428	3.5783
64.6509	-40.2232	4.2755
64.6509	-39.9669	4.963
64.6509	-39.6756	5.6395
64.6509	-39.3508	6.3038
64.6509	-38.9945	6.9547
64.6509	-38.6085	7.5912
64.6509	-38.1949	8.2126
64.6509	-37.7557	8.818
64.6509	-37.293	9.407
64.6509	-36.8089	9.9791
64.6509	-36.3054	10.5338
64.6509	-35.7846	11.071
64.6509	-35.2483	11.5906
64.6509	-34.6986	12.0925
64.6509	-34.1372	12.5768
64.6509	-33.5657	13.0435
64.6509	-32.986	13.493
64.6509	-32.3993	13.9255
64.6509	-31.8072	14.3412
64.6509	-31.2109	14.7406
64.6509	-30.6118	15.124
64.6509	-30.0107	15.4919
64.6509	-29.4089	15.8447
64.6509	-28.8071	16.1828
64.6509	-28.2061	16.5068
64.6509	-27.6068	16.8171
64.6509	-27.0098	17.1142
64.6509	-26.4156	17.3985
64.6509	-25.8247	17.6706
64.6509	-25.2376	17.9309
64.6509	-24.6546	18.1799
64.6509	-24.0761	18.418
64.6509	-23.5023	18.6457
64.6509	-22.9335	18.8634
64.6509	-22.3698	19.0715
64.6509	-21.8114	19.2704
64.6509	-21.2583	19.4605
64.6509	-20.7107	19.6422
64.6509	-20.1687	19.8158
64.6509	-19.6321	19.9817
64.6509	-19.101	20.1401
64.6509	-18.5755	20.2915
64.6509	-18.0554	20.4361
64.6509	-17.5407	20.5742
64.6509	-17.0313	20.7061
64.6509	-16.5272	20.832
64.6509	-16.0283	20.9522
64.6509	-15.5344	21.0668
64.6509	-15.0454	21.1763
64.6509	-14.5613	21.2806
64.6509	-14.082	21.3801
64.6509	-13.6072	21.4749
64.6509	-13.1368	21.5653
64.6509	-12.6708	21.6513
64.6509	-12.209	21.7332
64.6509	-11.7512	21.811
64.6509	-11.2973	21.885
64.6509	-10.8472	21.9553
64.6509	-10.4008	22.022
64.6509	-9.9578	22.0852
64.6509	-9.5181	22.1451
64.6509	-9.0817	22.2016
64.6509	-8.6482	22.2551
64.6509	-8.2177	22.3054
64.6509	-7.79	22.3528
64.6509	-7.3648	22.3973
64.6509	-6.9422	22.439
64.6509	-6.5219	22.478
64.6509	-6.1037	22.5143
64.6509	-5.6876	22.5479
64.6509	-5.2734	22.579
64.6509	-4.861	22.6076
64.6509	-4.4502	22.6337
64.6509	-4.0409	22.6575
64.6509	-3.633	22.6788
64.6509	-3.2263	22.6978
64.6509	-2.8207	22.7145
64.6509	-2.416	22.7289
64.6509	-2.0121	22.7411
64.6509	-1.6088	22.751
64.6509	-1.2062	22.7587
64.6509	-0.8039	22.7642
64.6509	-0.4019	22.7675
64.6509	0	22.7686
64.6509	0.4019	22.7675
64.6509	0.8039	22.7642
64.6509	1.2062	22.7587
64.6509	1.6088	22.751
64.6509	2.0121	22.7411
64.6509	2.416	22.7289
64.6509	2.8207	22.7145
64.6509	3.2263	22.6978
64.6509	3.633	22.6788
64.6509	4.0409	22.6575
64.6509	4.4502	22.6337
64.6509	4.861	22.6076
64.6509	5.2734	22.579
64.6509	5.6876	22.5479
64.6509	6.1037	22.5143
64.6509	6.5219	22.478
64.6509	6.9422	22.439
64.6509	7.3648	22.3973
64.6509	7.79	22.3528
64.6509	8.2177	22.3054
64.6509	8.6482	22.2551
64.6509	9.0817	22.2016
64.6509	9.5181	22.1451
64.6509	9.9578	22.0852
64.6509	10.4008	22.022
64.6509	10.8472	21.9553
64.6509	11.2973	21.885
64.6509	11.7512	21.811
64.6509	12.209	21.7332
64.6509	12.6708	21.6513
64.6509	13.1368	21.5653
64.6509	13.6072	21.4749
64.6509	14.082	21.3801
64.6509	14.5613	21.2806
64.6509	15.0454	21.1763
64.6509	15.5344	21.0668
64.6509	16.0283	20.9522
64.6509	16.5272	20.832
64.6509	17.0313	20.7061
64.6509	17.5407	20.5742
64.6509	18.0554	20.4361
64.6509	18.5755	20.2915
64.6509	19.101	20.1401
64.6509	19.6321	19.9817
64.6509	20.1687	19.8158
64.6509	20.7107	19.6422
64.6509	21.2583	19.4605
64.6509	21.8114	19.2704
64.6509	22.3698	19.0715
64.6509	22.9335	18.8634
64.6509	23.5023	18.6457
64.6509	24.0761	18.418
64.6509	24.6546	18.1799
64.6509	25.2376	17.9309
64.6509	25.8247	17.6706
64.6509	26.4156	17.3985
64.6509	27.0098	17.1142
64.6509	27.6068	16.8171
64.6509	28.2061	16.5068
64.6509	28.8071	16.1828
64.6509	29.4089	15.8447
64.6509	30.0107	15.4919
64.6509	30.6118	15.124
64.6509	31.2109	14.7406
64.6509	31.8072	14.3412
64.6509	32.3993	13.9255
64.6509	32.986	13.493
64.6509	33.5657	13.0435
64.6509	34.1372	12.5768
64.6509	34.6986	12.0925
64.6509	35.2483	11.5906
64.6509	35.7846	11.071
64.6509	36.3054	10.5338
64.6509	36.8089	9.9791
64.6509	37.293	9.407
64.6509	37.7557	8.818
64.6509	38.1949	8.2126
64.6509	38.6085	7.5912
64.6509	38.9945	6.9547
64.6509	39.3508	6.3038
64.6509	39.6756	5.6395
64.6509	39.9669	4.963
64.6509	40.2232	4.2755
64.6509	40.4428	3.5783
64.6509	40.6244	2.8728
64.6509	40.7669	2.1606
64.6509	40.8693	1.4432
64.6509	40.931	0.7225
64.6509	40.9517	0
64.6509	40.9517	0
