x	y	z
1796.28	-322.296	157.083
1796.62	-322.335	157.095
1801.13	-322.864	157.25
1801.47	-322.903	157.261
1805.98	-323.432	157.417
1806.32	-323.472	157.428
1810.83	-324	157.583
1811.17	-324.04	157.595
1815.68	-324.568	157.75
1816.02	-324.608	157.762
1820.53	-325.137	157.917
1820.87	-325.177	157.929
1825.38	-325.705	158.084
1825.72	-325.745	158.095
1830.23	-326.273	158.25
1830.57	-326.313	158.262
1835.08	-326.842	158.417
1835.42	-326.881	158.429
1839.93	-327.41	158.584
1840.27	-327.45	158.596
1844.78	-327.978	158.751
1845.13	-328.018	158.762
1849.63	-328.546	158.917
1849.98	-328.586	158.929
1854.48	-329.115	159.084
1854.83	-329.155	159.096
1859.34	-329.683	159.251
1859.68	-329.723	159.263
1864.19	-330.251	159.418
1864.53	-330.291	159.43
1869.04	-330.819	159.584
1869.38	-330.86	159.596
1873.89	-331.388	159.751
1874.23	-331.428	159.763
1878.74	-331.956	159.918
1879.08	-331.996	159.93
1883.59	-332.524	160.085
1883.93	-332.565	160.097
1888.44	-333.092	160.251
1888.79	-333.133	160.263
1893.29	-333.661	160.418
1893.64	-333.701	160.43
1898.14	-334.229	160.585
1898.49	-334.27	160.597
1902.99	-334.797	160.752
1903.34	-334.838	160.764
1907.84	-335.365	160.919
1908.19	-335.406	160.931
1912.69	-335.934	161.085
1913.04	-335.975	161.097
1917.54	-336.502	161.252
1917.89	-336.543	161.264
1922.39	-337.07	161.419
1922.74	-337.111	161.431
1927.24	-337.638	161.586
1927.59	-337.679	161.598
1932.09	-338.207	161.752
1932.44	-338.248	161.764
1936.94	-338.775	161.919
1937.3	-338.816	161.931
1941.79	-339.343	162.086
1942.15	-339.384	162.098
1946.64	-339.911	162.253
1947	-339.953	162.265
1951.49	-340.48	162.419
1951.85	-340.521	162.432
1956.35	-341.048	162.586
1956.7	-341.089	162.598
1961.2	-341.616	162.753
1961.55	-341.658	162.765
1966.05	-342.184	162.92
1966.4	-342.226	162.932
1970.9	-342.753	163.086
1971.25	-342.794	163.099
1975.75	-343.321	163.253
1976.1	-343.363	163.265
1980.6	-343.889	163.42
1980.96	-343.931	163.432
1985.45	-344.457	163.587
1985.81	-344.499	163.599
1990.3	-345.026	163.753
1990.66	-345.068	163.766
1995.15	-345.594	163.92
1995.51	-345.636	163.933
2000	-346.194	164.053
