x	y	z
1887.11	-109.641	160
1887.11	-105.008	160
1887.11	-100.342	160
1887.11	-95.6449	160
1887.11	-90.9186	160
1887.11	-86.1642	160
1887.11	-81.3833	160
1887.11	-76.5774	160
1887.11	-71.7479	160
1887.11	-66.8962	160
1887.11	-62.024	160
1887.11	-57.1326	160
1887.11	-52.2236	160
1887.11	-47.2986	160
1887.11	-42.359	160
1887.11	-37.4063	160
1887.11	-32.4422	160
1887.11	-27.468	160
1887.11	-22.4854	160
1887.11	-17.4958	160
1887.11	-12.5009	160
1887.11	-7.5021	160
1887.11	-2.5009	160
1887.11	2.5009	160
1887.11	7.5021	160
1887.11	12.5009	160
1887.11	17.4958	160
1887.11	22.4854	160
1887.11	27.468	160
1887.11	32.4422	160
1887.11	37.4063	160
1887.11	42.359	160
1887.11	47.2986	160
1887.11	52.2236	160
1887.11	57.1326	160
1887.11	62.024	160
1887.11	66.8962	160
1887.11	71.7479	160
1887.11	76.5774	160
1887.11	81.3833	160
1887.11	86.1642	160
1887.11	90.9186	160
1887.11	95.6449	160
1887.11	100.342	160
1887.11	105.008	160
1887.11	109.641	160
